Date           ,Price          ,SuperTrend     ,LowerBand      ,UpperBand      
2020-07-09 20:00:00 -0400 EDT,9233.43        ,true           ,8876.46        ,NaN            
2020-07-10 20:00:00 -0400 EDT,9285.99        ,true           ,8876.46        ,NaN            
2020-07-11 20:00:00 -0400 EDT,9233.98        ,true           ,8876.46        ,NaN            
2020-07-12 20:00:00 -0400 EDT,9304.22        ,true           ,8876.46        ,NaN            
2020-07-13 20:00:00 -0400 EDT,9242.45        ,true           ,8876.46        ,NaN            
2020-07-14 20:00:00 -0400 EDT,9253.58        ,true           ,8876.46        ,NaN            
2020-07-15 20:00:00 -0400 EDT,9197.00        ,true           ,8876.46        ,NaN            
2020-07-16 20:00:00 -0400 EDT,9134.49        ,true           ,8876.46        ,NaN            
2020-07-17 20:00:00 -0400 EDT,9154.84        ,true           ,8876.46        ,NaN            
2020-07-18 20:00:00 -0400 EDT,9169.94        ,true           ,8876.46        ,NaN            
2020-07-19 20:00:00 -0400 EDT,9207.82        ,true           ,8923.42        ,NaN            
